acceleration.x,acceleration.y,acceleration.z,gesture
1.63,0.41,9.36,gesture_1
1.65,0.41,9.38,gesture_1
1.62,0.41,9.32,gesture_1
1.62,0.4,9.33,gesture_1
1.64,0.42,9.34,gesture_1
1.65,0.42,9.33,gesture_1
1.64,0.43,9.33,gesture_1
1.64,0.39,9.36,gesture_1
1.65,0.42,9.34,gesture_1
2.1,0.73,11.1,gesture_1
1.57,0.42,9.27,gesture_1
1.63,0.43,9.35,gesture_1
1.65,0.4,9.31,gesture_1
1.64,0.43,9.33,gesture_1
1.61,0.41,9.34,gesture_1
1.62,0.41,9.35,gesture_1
1.65,0.52,9.77,gesture_1
1.63,0.44,8.78,gesture_1
1.58,0.41,9.35,gesture_1
0.63,0.42,9.37,gesture_1
0.63,0.4,9.33,gesture_1
0.64,0.4,9.34,gesture_1
0.45,0.48,10.01,gesture_1
0.59,0.41,9.4,gesture_1
0.65,0.63,9.94,gesture_1
0.64,0.45,9.32,gesture_1
0.61,0.41,9.3,gesture_1
0.68,0.55,9.82,gesture_1
0.63,0.42,9.31,gesture_1
0.62,0.51,9.51,gesture_1
0.67,0.43,9.37,gesture_1
0.62,0.46,9.35,gesture_1
0.71,0.9,9.9,gesture_1
0.63,0.42,9.31,gesture_1
0.15,-0.99,-0.31,gesture_1
0.57,0.69,8.17,gesture_1
0.61,0.43,9.4,gesture_1
0.54,0.45,9.39,gesture_1
0.66,0.45,9.3,gesture_1
0.63,0.44,9.39,gesture_1
0.52,0.28,10.12,gesture_1
0.61,0.45,9.33,gesture_1
0.54,0.57,9.79,gesture_1
0.63,0.16,9.76,gesture_1
0.62,0.43,9.36,gesture_1
0.58,0.62,9.85,gesture_1
0.62,0.38,9.35,gesture_1
0.62,0.44,9.4,gesture_1
0.64,0.53,9.37,gesture_1
0.62,0.41,9.34,gesture_1
0.59,0.42,9.37,gesture_1
0.6,0.45,9.69,gesture_1
0.63,0.42,9.35,gesture_1
0.53,0.4,10.15,gesture_1
0.98,1.27,9.96,gesture_1
0.6,0.43,9.42,gesture_1
0.54,0.46,9.42,gesture_1
0.58,0.43,9.27,gesture_1
0.48,1.84,1.39,gesture_1
0.66,0.53,9.56,gesture_1
0.62,0.44,9.28,gesture_1
0.83,0.81,9.58,gesture_1
0.63,0.46,9.83,gesture_1
0.62,0.42,9.32,gesture_1
0.53,0.51,9.48,gesture_1
0.72,1.58,8.44,gesture_1
0.6,0.39,9.39,gesture_1
0.66,0.58,9.38,gesture_1
0.63,0.43,9.19,gesture_1
0.59,0.42,9.31,gesture_1
0.62,0.52,9.36,gesture_1
0.67,0.45,9.33,gesture_1
0.61,0.4,9.37,gesture_1
0.53,0.38,9.51,gesture_1
0.68,0.34,8.87,gesture_1
0.62,0.42,9.31,gesture_1
0.72,0.48,9.48,gesture_1
0.64,0.43,9.31,gesture_1
0.62,1.01,9.81,gesture_1
0.55,0.33,9.64,gesture_1
0.59,0.43,9.29,gesture_1
0.56,0.55,9.67,gesture_1
0.66,0.11,8.29,gesture_1
0.6,0.4,9.41,gesture_1
0.6,0.5,9.3,gesture_1
0.61,0.4,9.17,gesture_1
0.6,0.43,9.35,gesture_1
0.61,0.5,9.43,gesture_1
0.59,0.4,9.08,gesture_1
0.1,-1.68,15.07,gesture_1
0.4,0.34,9.61,gesture_1
0.6,0.41,9.31,gesture_1
0.6,3.15,11.79,gesture_1
0.54,0.37,9.82,gesture_1
0.62,0.4,9.33,gesture_1
0.66,0.7,9.76,gesture_1
0.48,-0.25,10.37,gesture_1
0.56,0.43,9.43,gesture_1
0.58,0.65,9.37,gesture_1
0.29,0.07,7.84,gesture_1
0.56,0.39,9.42,gesture_1
0.54,0.42,9.24,gesture_1
0.64,0.23,8.71,gesture_1
0.59,0.41,9.35,gesture_1
0.49,0.32,9.48,gesture_1
0.63,0.4,9.31,gesture_1
0.85,1.27,9.93,gesture_1
0.74,0.46,10.02,gesture_1
0.6,0.43,9.33,gesture_1
0.65,0.65,9.55,gesture_1
0.67,0.79,8.45,gesture_1
