gesture,gx,gy,gz
left,-0.03,0.04,0.01
left,-0.03,0.02,0.02
left,-0.36,0.16,-0.03
left,-0.17,-0.03,-0.11
left,-0.03,0.01,0.04
left,-0.02,0.02,0.02
left,-0.01,0.02,0.02
left,-0.01,0.02,0.02
left,-0.01,0.03,0.03
left,-0.04,0.03,0
left,-0.03,0.03,0.02
left,-0.03,0.02,0.01
left,-0.03,0.03,0.01
left,-0.08,0.03,-0.03
left,-0.07,0.07,-0.02
left,0.07,-0.19,0.2
left,3.32,0.68,0.08
left,1.02,0.1,-0.28
left,-0.15,-0.02,0.05
left,-0.09,0.01,0.04
left,-0.13,0.03,0.01
left,-2,-0.37,0.08
left,-4.25,-0.18,-0.05
left,0.05,0.06,0.04
left,0.06,-0.06,0.3
left,-0.02,-0.11,0.12
left,0.06,-0.02,0.1
left,0.19,0.07,-0.68
left,-0.17,0.1,-0.22
left,0.51,-0.08,0.48
left,3.58,0,-0.32
left,1.06,0.13,-0.05
left,0.08,0.05,0.12
left,-0.1,0.06,0.05
left,-0.22,0.04,-0.03
left,-1.15,0.02,0
left,-3.62,0.3,-0.19
left,0.09,-0.07,0.01
left,0.03,0.03,0.1
left,-0.01,0.03,-0.05
left,0.78,-0.14,0.14
left,1.63,0.17,-0.2
left,1.46,-0.03,-0.21
left,1.11,0.2,-0.08
left,0.07,0.03,0.06
left,-0.21,0.01,0.01
left,-4.55,-0.19,0.33
left,-0.9,0,-0.17
left,-0.03,0.04,0.05
left,-0.01,0.03,0.04
left,0.11,0.01,0.02
left,0.8,-0.09,0.23
left,2.39,0.15,-0.29
left,1.53,0.03,-0.13
left,0.59,0.12,0.04
left,-0.07,0.03,-0.01
left,-0.79,0.06,0.02
left,-4.1,0.02,0.57
left,-0.26,0.01,-0.04
left,0.01,-0.03,0.06
left,0.57,-0.03,0.06
left,1.61,0.05,-0.17
left,2.32,0.12,-0.42
left,0.84,0.15,-0.02
left,-0.07,-0.02,0.07
right,-1.66,-0.17,-0.12
right,-3.99,0.1,0.38
right,-0.21,0.14,0.15
right,-0.14,0.01,-0.04
right,0.31,0.06,0.6
right,-0.01,-0.46,-1.19
right,0.39,-0.25,0.32
right,0.64,-0.69,-0.62
right,0.93,-0.14,-0.94
right,0.24,0.39,-0.14
right,0.74,0.3,-0.04
right,0.05,0.31,0.11
right,0.03,0.05,0
right,-0.03,0.01,0.08
right,-0.36,-0.02,-0.03
right,-1.47,0.02,-0.02
right,-1.79,0.02,0.22
right,0.1,0.01,-0.03
right,1.79,0.1,-0.9
right,2.74,0.24,0.46
right,0.89,0.12,0.06
right,0.08,0.04,0.01
right,0.07,0.09,0.01
right,0.12,-0.02,0.02
right,-0.46,-0.02,-0.05
right,-2.74,-0.79,0.15
right,-2.1,-0.17,0.22
right,-0.97,0.64,0.28
right,-0.13,-0.01,-0.01
right,1.64,0.17,-0.12
right,3.03,0.43,0.15
right,0.5,0.37,0.3
right,-0.03,-0.05,0.02
right,-0.08,0.03,0
right,0.01,0.02,-0.01
right,-0.43,-0.03,-0.01
right,-3.76,-0.8,0.15
right,-1.47,0.27,0.06
right,-0.33,0.08,-0.02
right,0.07,-0.03,-0.01
right,1.83,0.44,-0.02
right,2.36,-0.05,0.1
right,0.57,0.13,0.24
right,-0.18,-0.02,-0.03
right,-0.12,0.01,0.01
right,-0.08,0,0.04
right,-0.02,-0.02,0.02
right,0.02,0.05,0
right,0.02,0.05,0.04
right,-0.16,0.02,0.02
right,-2.45,-0.54,0.24
right,-2.45,-0.62,0.08
right,-0.17,0.12,0.09
right,-0.06,0.06,0.01
right,0.7,0.24,-0.1
right,3.01,0.72,-0.18
right,1.18,0.3,0
right,0.07,0.11,0.04
right,0,0.01,0.04
right,0.11,0.03,0
right,-0.07,0,0.01
right,-2.07,-0.6,0.16
right,-2.56,-0.46,0
right,-2.54,0.02,0.17
right,-0.04,-0.02,-0.02
right,0.17,0.06,-0.01
