gesture,ax,ay,az,gx,gy,gz
left,-0.33,1.08,9.38,-0.03,0.03,0.01
left,-0.33,1.1,9.38,-0.03,0.03,0.01
left,-0.14,1.04,9.15,0.01,-0.22,0.03
left,-0.08,0.94,9.35,-0.07,0.12,0.0
left,-0.23,0.94,9.56,-0.01,0.03,0.02
left,-0.24,1.43,9.14,-0.12,-0.05,0.22
left,1.24,1.15,9.3,0.04,-0.74,0.05
left,1.37,1.13,9.32,-0.03,0.01,0.01
left,-2.33,1.36,10.04,0.0,2.87,-0.08
left,2.41,-0.45,9.57,-0.09,0.25,0.11
left,0.84,0.79,9.26,-0.2,0.44,-0.13
left,1.23,1.11,9.39,-0.02,-0.35,0.01
left,1.62,1.13,9.02,-0.2,-1.2,-0.22
left,2.66,1.07,9.09,0.02,0.12,0.03
left,0.22,1.29,9.43,-0.03,0.12,0.06
left,0.03,0.88,9.37,-0.03,0.04,0.01
left,0.45,2.03,9.74,0.27,-0.45,-0.52
left,0.0,-116.33,16.55,-1.3,-15.26,0.0
left,0.86,2.16,9.23,1.03,1.03,1.07
left,0.0,-116.33,16.55,-1.3,-15.26,0.0
left,1.09,2.31,8.68,0.49,-0.38,0.11
left,2.05,3.24,8.59,0.64,-0.11,-0.12
left,0.0,-116.33,16.55,-1.3,-15.26,0.0
left,2.58,3.31,6.88,-0.02,-0.31,0.64
left,1.34,3.8,7.03,-0.34,0.58,-0.55
left,2.58,3.52,8.44,0.1,0.22,0.25
left,1.26,4.72,8.37,-0.05,-0.32,-0.06
left,1.46,4.23,8.73,-0.5,-0.42,0.23
left,0.5,5.56,7.09,1.66,0.22,-0.98
left,0.57,5.52,7.3,-1.72,0.18,0.13
left,1.03,4.54,8.32,-2.1,-0.08,0.29
left,1.36,0.84,8.33,-1.25,0.15,0.6
left,1.46,0.18,9.91,0.14,-0.18,0.16
left,2.53,3.48,8.7,2.21,-1.01,-0.53
left,2.2,10.57,4.01,5.36,-0.57,-1.58
left,0.87,8.37,-2.14,0.73,0.65,-0.43
left,0.7,9.79,-4.59,0.57,0.22,-0.02
left,0.48,9.39,-3.18,0.19,0.1,0.04
left,0.58,9.26,-3.18,0.22,0.11,0.01
left,0.53,9.4,-2.77,0.26,0.09,-0.01
left,0.65,8.98,-3.42,-0.35,0.08,0.0
left,2.36,9.5,4.5,-6.37,0.1,1.67
left,1.92,2.26,8.47,-2.41,0.8,0.52
left,0.54,0.58,9.12,-0.89,0.48,0.18
left,0.39,-0.27,8.79,0.36,0.11,-0.37
left,-0.57,0.83,10.03,-0.06,0.41,-0.15
left,-0.39,0.72,9.35,-0.41,-0.87,1.01
left,-0.34,0.82,9.69,0.14,-0.1,-0.13
left,0.23,1.14,10.0,0.14,-0.03,-0.2
left,0.38,1.44,9.59,-0.26,-0.0,0.07
left,0.37,1.23,9.69,0.07,0.12,-0.01
left,0.4,1.18,9.32,-0.05,0.01,-0.02
left,0.42,1.35,9.51,0.13,-0.0,-0.05
left,0.41,2.34,9.05,0.5,-0.04,-0.12
left,0.73,4.46,9.55,1.76,-0.21,-0.3
left,0.86,7.65,7.15,2.76,-0.04,-0.08
left,0.65,9.64,2.81,2.47,0.16,0.04
left,0.82,9.73,-1.41,0.27,0.07,-0.07
left,0.83,9.38,-2.36,-0.83,0.02,-0.06
left,0.88,9.56,-1.87,-0.71,0.1,-0.09
left,0.83,9.68,-2.55,-0.24,0.02,0.01
left,0.72,10.18,-0.83,-2.77,-0.44,0.14
left,1.39,6.15,5.62,-5.3,0.54,0.6
left,0.57,0.8,9.5,-0.94,-0.05,0.12
left,0.21,-0.95,10.79,0.39,0.26,-0.04
left,-0.01,-0.81,10.44,-0.0,0.16,-0.02
left,0.04,-1.05,9.73,0.04,0.06,0.05
left,0.12,-0.26,9.27,0.0,0.01,-0.0
left,0.38,0.15,9.22,0.57,-0.15,0.01
left,0.33,2.6,9.88,1.9,0.1,-0.11
left,0.57,6.19,6.71,1.93,-0.36,0.05
left,0.83,8.64,3.42,2.58,-0.18,-0.1
left,0.69,9.89,-1.7,1.75,0.0,-0.02
left,0.55,9.62,-2.55,0.57,0.08,-0.0
left,0.47,9.46,-1.36,0.08,0.05,-0.02
left,0.49,9.5,-2.36,-0.18,0.03,-0.01
left,0.45,9.47,-2.74,-0.05,0.02,0.01
left,0.66,9.53,1.39,-3.5,-0.45,0.39
left,1.32,5.98,6.53,-4.44,0.72,0.75
left,0.06,1.23,10.47,-0.8,0.35,-0.1
left,-0.29,-0.23,10.02,-0.12,0.1,-0.17
left,-0.36,-0.01,9.23,-0.1,0.11,0.01
left,-0.28,-0.14,8.8,0.3,-0.11,0.2
left,-0.19,0.75,9.48,0.7,-0.03,0.48
left,0.17,0.76,9.84,-0.02,-0.17,0.52
left,0.45,1.4,9.35,0.07,0.05,0.02
left,0.29,1.56,9.29,0.07,-0.03,-0.03
left,0.5,1.23,9.31,0.01,-0.02,0.0
left,0.45,1.22,9.57,-0.02,-0.01,-0.01
left,0.77,2.08,9.28,1.79,-0.46,-0.02
left,1.13,6.06,6.98,2.06,-0.26,-0.09
left,1.19,8.7,3.63,2.91,-0.03,0.17
left,1.47,9.14,-1.98,1.72,0.33,-0.06
left,1.8,8.85,-4.65,-0.37,0.04,-0.06
left,1.71,8.71,-4.18,0.13,-0.03,0.06
left,1.59,8.98,-3.44,0.23,-0.02,0.07
left,1.18,9.64,-2.24,0.16,0.03,0.04
left,1.32,9.54,-2.49,-0.6,-0.02,-0.06
left,0.71,9.4,2.43,-4.19,0.3,-0.22
left,0.46,3.93,9.04,-4.33,0.21,0.35
left,0.19,0.53,10.02,-0.17,0.14,0.33
left,0.12,0.75,9.96,0.13,0.1,0.13
left,0.03,1.12,9.36,0.04,0.12,0.09
left,-0.17,1.28,9.5,0.1,0.1,-0.11
left,-0.33,1.52,9.45,0.06,0.01,-0.07
left,-0.32,1.62,9.23,0.0,0.01,-0.01
left,-0.26,1.65,9.37,0.01,0.01,0.02
left,-0.29,1.83,9.38,0.02,0.02,-0.01
left,-0.25,1.76,9.39,0.05,0.02,0.02
left,-0.3,1.94,9.35,0.07,0.01,0.02
left,-0.26,2.09,9.23,0.19,-0.06,0.0
left,-0.12,2.99,9.49,1.04,-0.16,-0.02
left,0.67,6.5,6.79,3.16,-0.37,0.28
left,0.92,8.91,2.41,2.09,-0.15,0.06
left,1.28,9.56,-2.23,1.66,0.1,0.02
left,1.47,9.1,-3.38,0.37,0.0,0.18
left,1.13,9.49,-2.5,0.03,0.05,0.04
left,1.18,9.37,-2.88,-0.21,0.04,-0.05
left,1.17,9.67,-2.9,-0.17,0.06,-0.06
left,0.68,9.56,-0.35,-4.26,-0.07,-0.7
left,0.52,4.82,5.57,-3.71,-0.1,0.16
left,-0.04,0.94,8.54,-1.54,-0.0,-0.22
left,-0.21,-0.35,10.59,-0.2,0.03,-0.03
left,0.04,-0.32,9.5,-0.17,0.03,0.03
left,0.03,-0.6,9.38,-0.02,0.09,0.03
left,-0.16,-0.91,8.74,0.12,-0.24,0.7
left,0.56,-0.39,9.25,0.4,-0.27,0.55
left,0.84,0.42,9.86,0.13,0.01,-0.02
left,0.78,0.66,9.33,0.04,0.05,-0.07
left,0.7,2.13,9.78,1.05,-0.08,-0.15
left,1.13,4.36,9.0,1.92,-0.4,-0.1
left,1.58,7.57,4.57,2.82,0.03,-0.0
left,1.28,10.58,2.4,1.5,0.01,0.03
left,1.54,9.99,-0.09,-0.18,0.11,0.07
left,1.72,9.65,-0.43,-0.05,0.03,0.01
left,1.78,9.86,-0.62,-0.15,0.06,-0.03
left,1.88,9.64,-1.29,-0.15,0.09,-0.02
left,1.7,10.15,-0.85,-0.46,0.08,-0.2
left,1.51,9.21,0.48,-0.85,-0.09,0.01
left,1.34,7.89,4.5,-3.47,0.45,-0.4
left,-0.17,3.83,9.77,-2.53,0.47,-0.08
left,-0.27,-0.1,9.56,0.17,0.09,0.16
left,0.16,0.9,9.51,-0.04,0.01,0.02
left,0.12,0.77,9.56,-0.05,-0.05,0.04
left,0.24,0.49,9.6,-0.09,0.03,-0.02
left,0.28,0.52,9.61,0.0,0.04,0.0
left,0.27,0.66,9.67,-0.0,0.03,0.02
left,0.27,0.73,9.58,0.02,0.03,0.01
left,0.37,1.76,9.3,0.71,-0.06,-0.04
left,0.54,3.48,9.24,1.23,-0.18,-0.12
left,1.13,6.45,6.78,1.96,-0.23,0.09
left,1.21,9.27,3.37,1.9,-0.1,0.1
left,1.69,9.3,-0.05,1.02,-0.08,0.08
left,1.71,9.54,-1.38,-0.2,0.08,-0.03
