gesture,ax,ay,az,gx,gy,gz
left,-0.79,7.02,2.51,0.87,0.2,-0.33
left,-0.86,6.17,1.24,0.15,0.09,-0.14
left,-1.07,6.29,0.39,-0.01,0.06,0.02
left,-1.24,6.98,0.85,0.08,0.11,0.1
left,-1.34,7.47,1.35,-0.09,0.13,0.14
left,-1.19,7.21,1.14,-0.43,0.1,0.2
left,-1.07,7.31,0.95,-0.67,0.05,0.31
left,-1.06,8.14,0.76,-0.76,0.04,0.41
left,-1.1,9.31,1.02,-0.88,-0.01,0.46
left,-1.12,10.08,2.4,-1.3,-0.11,0.47
left,-0.85,10.27,3.34,-2.26,-0.27,0.52
left,-0.75,9.98,4.36,-3.5,-0.45,0.64
left,-0.68,9.14,4.68,-4.87,-0.58,0.84
left,-0.47,8.54,4.43,-5.93,-0.61,1.1
left,-0.32,8.54,4.58,-6.78,-0.68,1.46
left,-0.06,9.16,5.79,-7.44,-0.62,1.66
left,-0.09,9.41,5.51,-8.04,-0.68,1.77
left,-0.09,8.71,6.09,-8.36,-0.76,1.78
left,0.14,7.57,7.47,-8.49,-0.74,1.84
left,0.27,6.85,7.97,-8.72,-0.77,1.9
left,0.4,5.53,7.54,-8.73,-0.75,1.89
left,0.68,3.11,5.68,-8.1,-0.76,1.8
left,1.03,1.33,5.45,-6.71,-0.78,1.69
left,1.07,1.01,7.37,-4.99,-0.64,1.46
left,1.29,1.41,9.58,-3.7,-0.46,1.17
left,1.18,1.61,10.87,-2.98,-0.29,0.79
left,1.28,0.46,10.48,-2.64,-0.2,0.45
left,1.68,-1.15,9.84,-2.23,-0.15,0.26
left,1.72,-1.81,9.4,-1.67,-0.11,0.2
left,1.58,-1.93,9.27,-1.04,-0.08,0.12
left,1.48,-1.96,9.33,-0.39,-0.0,0.04
left,1.49,-1.62,9.64,0.15,0.08,-0.04
left,1.59,-1.37,9.99,0.38,0.12,-0.1
left,1.73,-1.55,10.01,0.45,0.13,-0.11
left,1.77,-1.58,9.67,0.49,0.14,-0.06
left,1.68,-1.22,9.57,0.51,0.14,0.0
left,1.52,-0.77,9.37,0.48,0.12,0.03
left,1.45,-0.62,8.92,0.47,0.09,0.01
left,1.38,-0.41,8.94,0.6,0.09,-0.03
left,1.36,-0.25,9.25,0.74,0.11,-0.08
left,1.36,-0.1,9.75,0.86,0.18,-0.13
left,1.54,-0.17,9.39,0.87,0.23,-0.15
left,1.63,-0.34,9.01,0.81,0.13,-0.1
left,1.69,-0.23,9.63,0.78,0.09,-0.03
left,1.66,0.06,10.0,0.67,0.09,0.04
left,1.55,0.41,9.75,0.49,0.06,0.09
left,1.47,0.47,9.73,0.36,0.04,0.1
left,1.51,0.55,9.66,0.29,0.04,0.09
left,1.37,0.7,9.53,0.26,0.03,0.08
left,1.24,0.84,9.5,0.27,0.04,0.04
left,1.35,0.79,9.43,0.25,0.04,0.0
left,1.48,0.65,9.5,0.2,0.02,0.0
left,1.45,0.7,9.66,0.14,0.03,0.02
left,1.39,0.83,9.67,0.05,0.04,0.03
left,1.25,0.86,9.56,-0.04,0.05,0.01
left,1.27,0.77,9.4,-0.06,0.08,-0.01
left,1.41,0.6,9.27,-0.07,0.08,-0.01
left,1.41,0.48,9.24,-0.05,0.05,0.01
left,1.42,0.51,9.3,-0.01,0.04,0.02
left,1.39,0.64,9.35,-0.0,0.03,0.01
left,1.32,0.75,9.62,0.0,0.03,-0.01
left,1.32,0.79,9.76,-0.03,0.04,-0.04
left,1.26,0.68,9.72,-0.06,0.05,-0.07
left,1.38,0.49,9.55,-0.06,0.07,-0.09
left,1.4,0.36,9.45,-0.06,0.06,-0.08
left,1.51,0.26,9.54,-0.05,0.05,-0.06
left,1.49,0.18,9.48,-0.05,0.05,-0.03
left,1.44,0.25,9.57,-0.05,0.05,-0.0
left,1.39,0.33,9.51,-0.07,0.05,0.01
left,1.29,0.42,9.42,-0.06,0.05,0.0
left,1.33,0.4,9.42,-0.03,0.05,-0.01
left,1.36,0.3,9.49,-0.01,0.04,-0.02
left,1.39,0.28,9.57,-0.03,0.04,-0.01
left,1.37,0.29,9.5,-0.06,0.04,0.01
left,1.33,0.28,9.32,-0.07,0.04,0.03
left,1.36,0.33,9.34,-0.04,0.03,0.04
left,1.31,0.48,9.47,-0.02,0.03,0.04
left,1.3,0.61,9.45,-0.04,0.03,0.04
left,1.28,0.57,9.39,-0.06,0.02,0.02
left,1.35,0.51,9.38,-0.07,0.02,0.02
left,1.31,0.52,9.42,-0.05,0.03,0.01
left,1.31,0.5,9.39,-0.04,0.04,0.01
left,1.27,0.55,9.38,-0.04,0.03,0.01
left,1.29,0.52,9.35,-0.04,0.03,-0.0
left,1.33,0.46,9.39,-0.04,0.03,-0.01
left,1.36,0.39,9.43,-0.03,0.03,-0.0
left,1.38,0.37,9.44,-0.03,0.03,0.0
left,1.33,0.37,9.45,-0.03,0.03,0.01
left,1.39,0.32,9.41,-0.03,0.03,0.02
left,1.36,0.33,9.52,-0.03,0.03,0.03
left,1.38,0.39,9.6,-0.05,0.03,0.04
left,1.35,0.45,9.48,-0.06,0.03,0.04
left,1.35,0.42,9.48,-0.05,0.02,0.04
left,1.38,0.37,9.51,-0.04,0.03,0.04
left,1.36,0.41,9.51,-0.05,0.03,0.05
left,1.3,0.52,9.53,-0.06,0.04,0.04
left,1.31,0.55,9.45,-0.08,0.04,0.03
left,1.29,0.47,9.4,-0.08,0.03,0.02
left,1.35,0.42,9.4,-0.05,0.04,0.02
left,1.37,0.4,9.43,-0.03,0.04,0.02
left,1.36,0.43,9.46,-0.03,0.04,0.03
left,1.34,0.41,9.45,-0.04,0.04,0.03
left,1.32,0.46,9.48,-0.04,0.03,0.02
left,1.31,0.47,9.47,-0.05,0.04,0.02
left,1.34,0.34,9.36,-0.05,0.03,0.01
left,1.33,0.31,9.44,-0.02,0.03,0.02
left,1.33,0.38,9.51,-0.02,0.03,0.03
left,1.31,0.45,9.47,-0.02,0.03,0.03
left,1.34,0.42,9.41,-0.03,0.03,0.02
left,1.38,0.31,9.45,-0.03,0.02,0.03
left,1.4,0.34,9.49,-0.02,0.03,0.04
left,1.33,0.39,9.42,-0.02,0.03,0.04
left,1.33,0.43,9.42,-0.02,0.02,0.03
left,1.34,0.41,9.38,-0.01,0.01,0.03
left,1.35,0.41,9.49,-0.01,0.01,0.03
left,1.34,0.34,9.51,-0.01,0.01,0.03
left,1.33,0.39,9.46,-0.01,0.02,0.04
left,1.33,0.45,9.39,-0.0,0.03,0.03
left,1.36,0.43,9.31,-0.0,0.02,0.03
left,1.37,0.44,9.4,0.01,0.02,0.03
left,1.36,0.41,9.46,0.02,0.02,0.03
left,1.31,0.51,9.54,0.01,0.02,0.04
left,1.32,0.54,9.56,-0.01,0.03,0.03
left,1.35,0.46,9.48,-0.03,0.02,0.03
left,1.32,0.5,9.5,-0.03,0.03,0.02
left,1.36,0.47,9.41,-0.04,0.04,0.02
left,1.37,0.41,9.37,-0.04,0.03,0.02
left,1.36,0.42,9.39,-0.03,0.02,0.02
left,1.4,0.43,9.49,-0.02,0.02,0.02
left,1.34,0.35,9.4,-0.03,0.02,0.02
left,1.39,0.34,9.47,-0.02,0.02,0.03
left,1.35,0.45,9.46,-0.02,0.02,0.03
left,1.34,0.52,9.45,-0.02,0.02,0.03
left,1.32,0.53,9.53,-0.02,0.03,0.02
left,1.36,0.5,9.44,-0.03,0.03,0.01
left,1.41,0.38,9.34,-0.03,0.03,0.01
left,1.39,0.35,9.41,-0.02,0.02,0.03
left,1.39,0.46,9.5,-0.02,0.02,0.03
left,1.34,0.46,9.51,-0.02,0.03,0.03
left,1.36,0.47,9.45,-0.02,0.03,0.02
left,1.33,0.45,9.46,-0.02,0.03,0.02
left,1.38,0.37,9.42,-0.02,0.02,0.02
left,1.38,0.42,9.48,-0.02,0.03,0.02
left,1.36,0.47,9.47,-0.01,0.03,0.03
left,1.35,0.51,9.45,-0.01,0.03,0.02
left,1.36,0.48,9.44,-0.02,0.04,0.01
left,1.39,0.47,9.37,-0.02,0.04,0.01
left,1.39,0.46,9.45,-0.02,0.03,0.01
left,1.36,0.45,9.42,-0.02,0.03,0.02
left,1.31,0.52,9.49,-0.02,0.03,0.02
left,1.35,0.51,9.51,-0.03,0.04,0.01
left,1.37,0.43,9.44,-0.04,0.04,0.0
left,1.39,0.34,9.35,-0.03,0.03,0.01
left,1.4,0.36,9.42,-0.02,0.03,0.02
left,1.35,0.47,9.47,-0.02,0.03,0.03
left,1.39,0.49,9.42,-0.03,0.03,0.02
left,1.33,0.47,9.41,-0.02,0.03,0.02
left,1.35,0.48,9.41,-0.02,0.03,0.01
left,1.35,0.46,9.45,-0.03,0.03,0.01
left,1.34,0.42,9.43,-0.03,0.02,0.01
left,1.35,0.47,9.5,-0.03,0.03,0.01
left,1.35,0.45,9.38,-0.03,0.03,0.01
left,1.41,0.45,9.37,-0.01,0.03,0.01
left,1.39,0.47,9.47,-0.01,0.03,0.01
left,1.38,0.5,9.46,-0.02,0.03,0.01
left,1.36,0.51,9.49,-0.03,0.03,0.01
left,1.3,0.53,9.45,-0.03,0.03,0.01
left,1.34,0.49,9.39,-0.03,0.03,-0.0
left,1.35,0.4,9.42,-0.03,0.03,-0.0
left,1.42,0.36,9.41,-0.03,0.03,0.0
left,1.39,0.42,9.46,-0.02,0.03,0.01
left,1.36,0.49,9.43,-0.02,0.03,0.02
left,1.34,0.48,9.4,-0.02,0.03,0.01
left,1.33,0.44,9.41,-0.01,0.03,0.01
left,1.38,0.45,9.46,-0.01,0.03,0.01
left,1.4,0.5,9.48,-0.02,0.03,0.02
left,1.4,0.58,9.45,-0.03,0.03,0.02
left,1.41,0.53,9.48,-0.05,0.02,0.01
left,1.38,0.49,9.5,-0.05,0.02,0.02
left,1.33,0.53,9.52,-0.05,0.03,0.03
left,1.3,0.6,9.51,-0.06,0.04,0.02
left,1.34,0.58,9.4,-0.08,0.04,0.01
left,1.35,0.49,9.39,-0.08,0.04,-0.0
left,1.43,0.39,9.42,-0.09,0.04,-0.0
left,1.39,0.29,9.38,-0.08,0.03,0.01
left,1.33,0.34,9.44,-0.07,0.03,0.02
left,1.3,0.41,9.47,-0.07,0.03,0.02
left,1.29,0.42,9.4,-0.06,0.03,0.01
left,1.33,0.41,9.44,-0.05,0.04,0.0
left,1.38,0.36,9.43,-0.06,0.03,0.0
left,1.39,0.36,9.42,-0.08,0.02,0.0
left,1.31,0.35,9.38,-0.05,0.02,0.01
left,1.33,0.37,9.49,-0.03,0.03,0.01
left,1.35,0.41,9.49,-0.03,0.03,0.01
left,1.4,0.44,9.47,-0.04,0.03,0.01
left,1.36,0.49,9.44,-0.04,0.03,0.01
left,1.34,0.47,9.54,-0.05,0.03,0.0
left,1.32,0.4,9.42,-0.05,0.03,-0.0
left,1.29,0.33,9.39,-0.04,0.03,-0.0
left,1.35,0.29,9.39,-0.03,0.03,-0.0
